Model,WordEmbedding,Precision,Recall,F1-Score
MultinomialNB,TFidf,0.756337647247344,0.5892545659302184,0.568336471590378
LogisticRegression,TFidf,0.7488213514541991,0.5934241410626728,0.5758285842664648
RandomForestClassifier,TFidf,0.793476043124347,0.5725409567145449,0.5368309277292577
MultinomialNB,Glove,0.32520967849297744,0.5,0.3940933885880799
LogisticRegression,Glove,0.7224975678623111,0.6086063175552044,0.6019567728911268
RandomForestClassifier,Glove,0.7199515445905994,0.596555097873374,0.5840184857014015
MultinomialNB,Hash,0.32520967849297744,0.5,0.3940933885880799
LogisticRegression,Hash,0.6808952579705427,0.5589177828410651,0.5257610346888957
RandomForestClassifier,Hash,0.7474888502653549,0.5291690509615821,0.45862999939347593
